@relation 'testing1-weka.filters.unsupervised.attribute.Add-TNOM-NNewNominal-Lactivity,scenic-Clast'

@attribute text string
@attribute NewNominal {SA,S&L}

'be really hot',S&L
'an absolutely amazing',S&L
'stop in Sri',S&L
'fearing the legitimate',SA
'have the experience',S&L
'As previous posters',S&L
'charge for tourists',S&L
'charging a little bit',S&L
'site is absolutely stunning',S&L
'place was almost empty',S&L
'explore the place',S&L
'the day was cloudy',S&L
'via safe metal',S&L
'climb the rock',S&L
'charge a higher',S&L
'other cultural triangle',SA
'Enjoyed the walk',S&L
'top are good',S&L
'put a dampener',S&L
'highlight in Sri',S&L
'The queues were huge',S&L
'was extremely slow',S&L
'not engage in conversation',S&L
'Being over seventy',S&L
'the sight of older',S&L
'fatter people accepting',S&L
' visited the Lion',S&L
'pay a significant',S&L
'a tight budget',S&L
'then climb the Pidurangala',S&L
'lot of walking',S&L
'and steps but worth',S&L
'reach the summit',S&L
'the final ascent',S&L
'Amazing must see',S&L
'hearted a long',S&L
'but well worth',S&L
'Kind of outrageous',S&L
'the top place',S&L
'top is pretty nice',S&L
'lot of steps',S&L
'expensive touristic',S&L
'People are walking',S&L
'top the views',S&L
'just typical view',S&L
'a high place',S&L
'also very expensive',S&L
'really too expensive',S&L
'all natural sites',S&L
'just a natural wonder',S&L
'an ancient society',S&L
'rewarded with endless',S&L
'stretches of green',S&L
'and beautiful ruins',S&L
'beautiful the surrounding countryside',S&L
'included in cost',S&L
'climb the Lion',S&L
'Rock was really nice',S&L
'the view was amazing',S&L
'is really expensive',S&L
'see manchu picchu',S&L
'leaving the hotel',S&L
'lots of traffic',S&L
'were long queues',S&L
'a long time',S&L
'with slow progress',S&L
'is good place',S&L
'in too much',S&L
'tough with small kids',S&L
'Museum is also good',SA
'good time there',S&L
'expensive but good',S&L
'aerial view of surrounding',S&L
'climbing was worth',S&L
'the main parking',S&L
'was very informative',S&L
'this place is fascinating',S&L
'a fairy-tale castle',S&L
'really not seen',S&L
'the steep climb',S&L
'is slightly strenuous',S&L
'the symmetrical water',S&L
'walk closer',S&L
'an incredible job',S&L
'is simply awesome',S&L
'lot more tlc',S&L
'have any audio',S&L
'the local turist',S&L
'the day is hot',S&L
'lot of energy',S&L
'avoid the heat',S&L
'a good work',S&L
'views are well worth',S&L
'like a good',S&L
'lots of water',S&L
'Very nice view',S&L
'walk alone',S&L
'guide was very unhappy',S&L
'well maintained by Unesco',S&L
