@relation 'testing1-weka.filters.unsupervised.attribute.Add-TNOM-NNewNominal-Lactivity,scenic-Clast'

@attribute text string
@attribute NewNominal {SA,S&L,n}



@data
'a nicer stupa',S&L
'stupa is just',n
'the very historic',SA
'Ancient place in',SA
'stupa was build',n
'great king Dutugamunu',SA
'BC from Anuradhapura',n
'the most venerated Buddhist',SA
'great warrior king',SA
'witness a buddhist',SA
'procession walking',S&L
'this very large stupa',S&L
'place with many pilgrims',SA
'sacred Buddhist',SA
'stupa the best',SA
'stupa for free',n
'Loved the elephant heads',S&L
'historical Buddhist',SA
'white stupa',S&L
'stupa dashing',S&L
'surrounds the Ruwanwelisaya',n
'Stupa embossed',S&L
'stupa is incredibly large',S&L
'good time to go',n
'lots of people',n
'combined by walking',S&L
'really worth to',S&L
'preparing the stupa',SA
'walk around even',n
'A short walk',S&L
'the sacred Sri Maha Bodhi',SA
'most amazing structures',S&L
'B.C. The square location',SA
'ancient world',SA
'stupa is wound',SA
'lots of such stupas',n
'place of buddhist',SA
'stupa is quite large',S&L
'Best to go',n
'Ruwanwalisaya dagoba',SA
'seround dagoba',SA
'Visited this grand Stupa',SA
'Buddha statue',SA
'Stupa premises',SA
'Dagoba or Stupa',SA
'Ruwanweli Dagoba',SA
'most venerated buddhist',SA
'historic Anuradhapura',SA
'see this colossal',S&L
'dagoba was a',n
'blend of historic',SA
'and current Buddhist',SA
'beautiful structure to',S&L
'stupa is impressive',S&L
'were many pilgrims',SA
'look ancient',SA
'great place to',S&L
'Jaya Sri Maha Bodhi',SA
'Ruwanwelisseya Dagoba',SA
'really beautiful and',S&L
'love Buddhist philosophy',SA
'brain of ancient',SA
'Great place to visit',S&L
'Buddhist this Ruwanwali',SA
'stupa is most religious stupa',SA
'best time to',n
'The most sacred stupa',SA
'best places to visit',S&L
'great place to visit',S&L
'best place for',S&L
'great place to visit',S&L
'beautiful and majestic',S&L
'best religious and',SA
'Stupa besides lotus',SA
'really nice place to',S&L
'Nice place to walk',S&L
'well worth a',S&L
'and very impressive stupa',SA
'sacred city',SA
'lot of worshipers',SA
'place with ancient budhist',SA
'Lot to see',S&L
'well never foget',S&L
'lovely evening and',S&L
'the most sacred',SA
'lot of walking',S&L
'Buddhist shrine',SA
'see this enormous Dagobar',SA
'nice building with',S&L
'the most iconic Stupa',SA
'all other stupha',SA
'of great Ruwanwelisaya',SA
'see place in Sri',n
'and huge stupa',S&L
'most important places',S&L
'missed by Buddhist',SA
'great history for',SA
'More suitable to visit',S&L
'Anuradhapura Sacred',n
'well as other temple',SA
'Located in sacred',SA
'Good Dagoba with',SA
'buddhist visitors',SA
'see the locals',n
'the Biggest Dagoba',SA
'purposes by ancient',SA
'the biggest stupa',S&L
'ancient chronology',SA
'walk barefoot',S&L
'white Dagoba',SA
'beautiful sculptures of hundreds',S&L
'Buddhist relics',SA
