@relation critics_test

@attribute text string
@attribute NewNominal numeric

@data
'walk for miles',8
'good surfing',8
'trips and rentable surf',7
'morn walk',7
'enjoyed walking',8
swim,7
'Almost deserted',2
'body surfing',8
'helicopter rides',8
'microlight rides',7
'swim here',7
'waves for boarding',7
'play hide',7
'walk the length',8
'use sunbed',8
'enjoy long walk',8
'waves and surfing',8
'beach for walking',7
'rollers and surf',7
'Take a walk',7
'surf strolling',8
'beach for swimming',8
'sunbathing and swimming',8
'or just walk',6
'beach walking',7
'body surfing',7
'relaxing walk',8
'walking early',7
'place for Surfing',8
'walk for hours',7
'surf looking',8
'Lovely for paddling',8
'boat ride',8
'walk for miles',7
'minutes walk',7
'are free sunbeds',8
'romantic walk',8
'rent sunbeds',8
'including surfing',7
'surf lessons',7
'not swim',4
'jump the waves',7
'year so swimming',7
'swim there',7
'walk with causing',8
'Great walking',9
'a long walk',8
'recommend swimming',7
'offering some surfing',7
'surf sport',7
'morning walk',8
'walk further',8
'front of Surf',8
'Perfect for surfing',8
'not swim',4
'paddle but often',6
'enjoy a long walk',9
'morning walk',8
'swimming was allowed',7
'swim here',7
'tides for swimming',7
'surfing maybe',6
'no safe swimming',2
'do the boat ride',4
'attempt swimming',6
'swim in today',7
'swim however',7
'sports from parasailing',7
'surfing this time',7
'swimming year',7
'watch the surf',7
'speed boat ride',7
'beach with swim',7
'Surf friendly waves',8
'A quiet walk',8
'a lovely walk',9
'swimming friendly',8
'for good walking',8
'banana boat rides',8
'hear that swimming',7
'swimming only',6
'wave surfing',7
'season for surfing',7
'go if surfing',7
'swimming due',7
'like walking',8
'morning walk',8
'get there walking',7
'swim or paddle',7
'luck with long rides',8
'boat rides',7
'Safe for swimming',8
'walk on bare feet',8
'helicopter rides',8
'surf fun',8
'wave jumping',7
'ocean swimming',7
'walk hours',8
'walk over next beaches',7
'Go walking',7
'people walking',7
'body boarding',8
'running and swimming',8
'are private sunbeds',8
'beach for walking',8
'surfing lessons',8
'Helicopter rides',8
'socialize and play',8
'go swimming',7
'beach for walking',8
'a great walking',9
'swim here',7
'enjoy walking',9
'helicopter rides',8
'state before swimming',7
'walk a little way',7
'fun jumping',8
'walking along',8
'sunbath and play',8
'beach game',7
'Perfect for walking',9
'is like walking',7
'walk really',8
'sunbeds parasols',8
'walk a couple',8
'good surf',8
'The perfect swimming',9
'sunbed sellers',8
'walk up',7
'walking or jogging',7
'walk for miles',8
'beach Swimming',7
'cove for swimming',8
'swimming with kids',8
'not swim',4
'charged for sunbeds',5
'walk deep',8
'swim and bathe',8
'Swim at own risk',5
'jumping the waves',7
'Worth a walk',8
'walking distance',7
'skiing and surfing',7
'Great for swimming',9
'surfing but keep',6
'wave jumping',7
'not swim',4
'beds and short surf',6
swim,7
Nice,8
'a little walk',7
'Walked the beach',7
'importantly surfing',8
'not walk',4
'nt swim',4
'sand or walk',7
'walk specially',7
'swim was good too',8
'lines of sunbeds',7
'walk in more',7
'jumping waves',7
'swim out far',6
'a great walk',9
'go swimming',7
'swimming or surfing',7
'afternoon walk',7
'time walking',7
'walk without bags',7
'Soft sand and very clean',9
'Lovely clean beach set',9
'waves are fairly gentle',8
'nt see any get',4
'beach has glorious sand',9
'lovely warm water',9
'warm sea with',8
'just sea and',5
